name,type,origin,max tools,change time (s),tool cost (USD),url,notes
Prusa XL,full_conventional,commercial-printer,,,,,
E3D toolchanger,full_conventional,commercial-toolhead,,,,,
Stealthchanger,full_conventional,foss,,,,,
Tapchanger,full_conventional,foss,,,,,
Madmax,full_conventional,foss,,,,,
Daksh,full_conventional,foss,,,,,
Lineux,full_conventional,foss,,,,,
U1,partial_conventional,commercial-printer,,,,,
C5 series,gear_swapping,commercial-printer,,,,,
M1D,hotend_fan_swapping,commercial-printer,,,,,
A4T-C,hotend_fan_swapping,foss,,,,,
MedusaHC,hotend_fan_swapping,foss,,,,,
Ronin,hotend_fan_swapping,foss,,,,,
MX series,inductive_pogo,commercial-printer,,,,,
INDX,inductive_pogo,commercial-toolhead,,,,,
Quindecum,inductive_pogo,foss,,,,,
Klitek,wired,commercial-printer,,,,,
CXchanger,wired,foss,,,,,
Vortek,ams_assisted_hotend_changer,commercial-printer,,,,,
Atomform,ams_assisted_nozzle_changer,commercial-printer,,,,,
Swapper3d,ams_assisted_nozzle_changer,commercial-toolhead,,,,,
